Session ,Day,Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance
1,MD+1,Maliach,,"4vs4+3J 2G, (12*18m, 18m), 1st Set",10:43:10,10:45:10,10:43:10,10:57:14,00:02:00,186,12,8,0,4.05,10,2,4,22.14,93.16,4,8,21.88,44
1,MD+1,Maliach,,"4vs4+3J 2G, (12*18m, 18m), 2nd Set",10:46:10,10:48:10,10:43:10,10:57:14,00:02:00,186,14,0,0,0,0,2,1.5,18.55,92.94,4,3,18.93,38
1,MD+1,Maliach,,"4vs4+3J 2G, (12*18m, 18m), 3rd Set",10:49:10,10:51:10,10:43:10,10:57:14,00:02:00,68,0,0,0,0,0,2,1.5,15.12,34.18,4,3,4.33,9
1,MD+1,Maliach,,"4vs4+3J 2G, (12*18m, 18m), 4th Set",10:52:10,10:54:10,10:43:10,10:57:14,00:02:00,208,14,9,1,4.66,0,3.5,2,26.24,103.7,7,4,29.37,59
1,MD+1,Maliach,,"4vs4+3J 2G, (12*18m, 18m), 5th Set",10:55:12,10:57:14,10:43:10,10:57:14,00:02:01,168,22,1,0,0.55,0,0.99,2.96,19.97,83.14,2,6,21.06,43
1,MD+1,Prada,,"4vs4+3J 2G, (12*18m, 18m), 1st Set",10:43:10,10:45:10,10:43:10,10:57:14,00:02:00,182,1,0,0,0,0,2.5,0.5,15.2,91.09,5,1,10.69,21
1,MD+1,Prada,,"4vs4+3J 2G, (12*18m, 18m), 2nd Set",10:46:10,10:48:10,10:43:10,10:57:14,00:02:00,218,47,0,0,0,0,3,4,19.59,108.72,6,8,33.93,68
1,MD+1,Prada,,"4vs4+3J 2G, (12*18m, 18m), 3rd Set",10:49:10,10:51:10,10:43:10,10:57:14,00:02:00,184,13,0,0,0,0,2,4,17.75,91.76,4,8,23.67,47
1,MD+1,Prada,,"4vs4+3J 2G, (12*18m, 18m), 4th Set",10:52:10,10:54:10,10:43:10,10:57:14,00:02:00,153,0,0,0,0,0,3,2.5,14.3,76.68,6,5,13.69,27
1,MD+1,Prada,,"4vs4+3J 2G, (12*18m, 18m), 5th Set",10:55:12,10:57:14,10:43:10,10:57:14,00:02:01,159,0,0,0,0,0,0.49,0,12.54,78.36,1,0,6.52,13
1,MD+1,Eshata,,"4vs4+3J 2G, (12*18m, 18m), 1st Set",10:43:10,10:45:10,10:43:10,10:57:14,00:02:00,193,13,7,1,3.64,8,1.5,3,25.34,96.46,3,6,20.98,42
1,MD+1,Eshata,,"4vs4+3J 2G, (12*18m, 18m), 2nd Set",10:46:10,10:48:10,10:43:10,10:57:14,00:02:00,210,7,0,0,0,0,2.5,2.5,17.99,105.16,5,5,19.64,39
1,MD+1,Eshata,,"4vs4+3J 2G, (12*18m, 18m), 3rd Set",10:49:10,10:51:10,10:43:10,10:57:14,00:02:00,194,6,0,0,0,0,3.5,2,17.7,96.94,7,4,19.12,38
1,MD+1,Eshata,,"4vs4+3J 2G, (12*18m, 18m), 4th Set",10:52:10,10:54:10,10:43:10,10:57:14,00:02:00,162,4,0,0,0,0,3,1.5,15.92,81.06,6,3,11.9,24
1,MD+1,Eshata,,"4vs4+3J 2G, (12*18m, 18m), 5th Set",10:55:12,10:57:14,10:43:10,10:57:14,00:02:01,221,7,0,0,0,0,3.95,3.46,17.9,109.03,8,7,22.67,46
1,MD+1,Bazea,,"4vs4+3J 2G, (12*18m, 18m), 1st Set",10:43:10,10:45:10,10:43:10,10:57:14,00:02:00,197,28,1,0,0.56,0,2.5,2.5,20.52,98.49,5,5,26.5,53
1,MD+1,Bazea,,"4vs4+3J 2G, (12*18m, 18m), 2nd Set",10:46:10,10:48:10,10:43:10,10:57:14,00:02:00,181,11,0,0,0,0,4,4,17.16,90.27,8,8,23.02,46
1,MD+1,Bazea,,"4vs4+3J 2G, (12*18m, 18m), 3rd Set",10:49:10,10:51:10,10:43:10,10:57:14,00:02:00,128,0,0,0,0,0,0.5,1,12.77,64.03,1,2,3.94,8
1,MD+1,Bazea,,"4vs4+3J 2G, (12*18m, 18m), 4th Set",10:52:10,10:54:10,10:43:10,10:57:14,00:02:00,192,6,0,0,0,0,4.5,1.5,17.43,96.03,9,3,15.91,32
1,MD+1,Bazea,,"4vs4+3J 2G, (12*18m, 18m), 5th Set",10:55:10,10:57:10,10:43:10,10:57:14,00:02:00,213,23,0,0,0,0,1,3.5,19.27,106.31,2,7,24.72,49
