Player Last Name,Player Primary Position,Drill Title,Drill Start Time,Drill End Time,Session Start Time,Session End Time,Total Time,Total Distance,Distance Zone 4 (Absolute),Distance Zone 5 (Absolute),Distance Zone 6 (Absolute),HSR Per Minute (Absolute),Sprint Distance,Accelerations Per Min,Decelerations Per Min,Max Speed,Distance Per Min,Accelerations,Decelerations,HMLD Per Minute,HML Distance
Glazer,,Entire Session,11:02:28,12:36:25,10:47:54,13:02:34,1:33:55,5673,427,54,0,0.57,54,0.56,0.5,23.72,60.4,53,47,8.19,769
Glazer,,Entire Session - Live,11:02:28,12:15:56,10:47:54,13:02:34,1:13:27,4842,409,54,0,0.73,54,0.64,0.59,23.72,65.92,47,43,9.99,734
Glazer,,"Warm-up, Mobility",11:09:59,11:16:21,10:47:54,13:02:34,0:06:21,518,35,0,0,0,0,0.16,0.47,18.98,81.42,1,3,7.6,48
Glazer,,RONDO 5VS2 (7*7M),11:16:43,11:28:43,10:47:54,13:02:34,0:11:59,375,1,0,0,0,0,0.67,0.58,15.28,31.26,8,7,2.19,26
Glazer,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 1",11:33:21,11:36:22,10:47:54,13:02:34,0:03:00,305,16,3,0,0.95,0,1.33,1,21.48,101.07,4,3,20.99,63
Glazer,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 2",11:37:27,11:40:25,10:47:54,13:02:34,0:02:58,357,61,6,0,2.1,4,2.01,2.69,21.07,119.91,6,8,32.56,97
Glazer,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 3",11:41:29,11:44:33,10:47:54,13:02:34,0:03:04,367,62,0,0,0,0,1.3,2.28,19.12,119.75,4,7,29.53,91
Glazer,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 4",11:45:31,11:48:33,10:47:54,13:02:34,0:03:01,263,37,9,0,2.9,8,1.32,0.66,22.37,87.11,4,2,22.58,68
Glazer,,LSG 10vs10 (68*52m) Set 1,11:53:21,11:57:30,10:47:54,13:02:34,0:04:08,374,49,5,0,1.28,7,1.93,0.97,23.72,90.35,8,4,17.22,71
Glazer,,LSG 10vs10 (68*52m) Set 2,11:58:53,12:03:17,10:47:54,13:02:34,0:04:24,424,53,9,0,1.94,11,1.36,0.68,21.98,96.18,6,3,20.69,91
Glazer,,LSG 10vs10 (68*52m) Set 3,12:04:23,12:08:41,10:47:54,13:02:34,0:04:17,447,67,22,0,5.08,25,0.93,0.93,23.23,104.06,4,4,26.31,113
Glazer,,LSG 10vs10 (68*52m) Set 4,12:09:55,12:14:07,10:47:54,13:02:34,0:04:11,344,20,0,0,0,0,0.48,0.48,18.84,82.01,2,2,11.52,48
Shalom,,Entire Session,11:04:12,12:35:25,10:47:54,13:02:34,1:31:10,5656,504,95,2,1.06,109,0.25,0.24,25.65,62.03,23,22,6.85,625
Shalom,,Entire Session - Live,11:04:12,12:15:56,10:47:54,13:02:34,1:11:43,4795,504,95,2,1.35,109,0.32,0.31,25.65,66.85,23,22,8.71,625
Shalom,,"Warm-up, Mobility",11:09:59,11:16:21,10:47:54,13:02:34,0:06:21,485,1,0,0,0,0,0,0,14.72,76.27,0,0,1.96,12
Shalom,,RONDO 5VS2 (7*7M),11:16:43,11:28:43,10:47:54,13:02:34,0:11:59,387,0,0,0,0,0,0.17,0,10.19,32.24,2,0,0.3,4
Shalom,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 1",11:33:21,11:36:22,10:47:54,13:02:34,0:03:00,302,38,0,0,0,0,0.33,1.33,18.47,100.19,1,4,20.48,62
Shalom,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 2",11:37:27,11:40:25,10:47:54,13:02:34,0:02:58,306,55,2,0,0.75,0,0.34,1.34,20.7,102.78,1,4,21.6,64
Shalom,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 3",11:41:29,11:44:33,10:47:54,13:02:34,0:03:04,258,29,7,0,2.26,6,0.65,0.65,21.97,83.99,2,2,16.88,52
Shalom,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 4",11:45:31,11:48:33,10:47:54,13:02:34,0:03:01,308,62,11,0,3.5,14,1.99,0.33,22.77,102.09,6,1,23.53,71
Shalom,,LSG 10vs10 (68*52m) Set 1,11:53:21,11:57:30,10:47:54,13:02:34,0:04:08,396,50,3,0,0.68,0,0.48,0.24,20.94,95.5,2,1,11.99,50
Shalom,,LSG 10vs10 (68*52m) Set 2,11:58:53,12:03:17,10:47:54,13:02:34,0:04:24,492,88,16,0,3.73,22,0.45,0.68,23.92,111.7,2,3,20.32,90
Shalom,,LSG 10vs10 (68*52m) Set 3,12:04:23,12:08:41,10:47:54,13:02:34,0:04:17,449,73,41,1,9.79,46,0.93,0.93,25.65,104.6,4,4,26.32,113
Shalom,,LSG 10vs10 (68*52m) Set 4,12:09:55,12:14:07,10:47:54,13:02:34,0:04:11,452,99,15,1,3.79,21,0.71,0.71,25.23,107.75,3,3,24.02,101
Revivo,,Entire Session,11:05:32,12:21:37,10:47:54,13:02:34,1:16:04,4799,539,142,6,1.94,169,0.62,0.63,26.95,63.09,47,48,9.97,759
Revivo,,Entire Session - Live,11:05:32,12:15:56,10:47:54,13:02:34,1:10:24,4588,539,142,6,2.1,169,0.67,0.68,26.95,65.17,47,48,10.78,759
Revivo,,"Warm-up, Mobility",11:09:59,11:16:21,10:47:54,13:02:34,0:06:21,499,44,5,0,0.74,6,0.31,0.47,22.68,78.38,2,3,7.49,48
Revivo,,RONDO 5VS2 (7*7M),11:16:43,11:28:43,10:47:54,13:02:34,0:11:59,415,2,0,0,0,0,0.58,0.5,16.13,34.58,7,6,1.39,17
Revivo,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 1",11:33:21,11:36:22,10:47:54,13:02:34,0:03:00,268,35,12,0,3.85,11,1.99,1.66,23.18,88.87,6,5,22.81,69
Revivo,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 2",11:37:27,11:40:25,10:47:54,13:02:34,0:02:58,318,36,5,0,1.71,8,2.35,1.01,21.12,106.72,7,3,20.19,60
Revivo,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 3",11:41:29,11:44:33,10:47:54,13:02:34,0:03:04,288,50,1,0,0.36,0,1.96,2.28,19.93,93.93,6,7,23.31,72
Revivo,,"Possession Game 8vs8+3J, 8 Mini Goals (32*48m), Set 4",11:45:31,11:48:33,10:47:54,13:02:34,0:03:01,243,31,2,0,0.56,0,0.99,0.99,20.61,80.34,3,3,14.19,43
Revivo,,LSG 10vs10 (68*52m) Set 1,11:53:21,11:57:30,10:47:54,13:02:34,0:04:08,452,77,23,0,5.67,29,1.21,1.21,24.46,108.99,5,5,22.36,93
Revivo,,LSG 10vs10 (68*52m) Set 2,11:58:53,12:03:17,10:47:54,13:02:34,0:04:24,482,90,37,4,9.23,38,1.36,1.36,26.95,109.47,6,6,29.02,128
Revivo,,LSG 10vs10 (68*52m) Set 3,12:04:23,12:08:41,10:47:54,13:02:34,0:04:17,400,54,16,0,3.62,21,1.16,0.93,24.85,93.13,5,4,18.26,78
Revivo,,LSG 10vs10 (68*52m) Set 4,12:09:55,12:14:07,10:47:54,13:02:34,0:04:11,470,117,42,2,10.5,55,0,0.95,26.42,111.91,0,4,34.27,144
