Session,Day,Turnover,Player_Name,Drill,Duration,Relative_distance,Z4_relative_distance,Z5_relative_distance,Z6_relative_distance,Relative_HSD,Relative_sprint_distance,Relative_accelerations,Relative_decelerations,Max_speed
1,MD-4,6,Glazer,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,517,120,13,0,2.87,18,1.33,0.67,22.15
1,MD-4,6,Glazer,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,587,177,28,0,5.89,39,2.12,0.85,23.87
1,MD-4,6,Glazer,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,541,160,41,0,9.01,52,2.21,0.89,24.31
1,MD-4,6,Glazer,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,417,102,10,0,3.49,9,1.33,1.0,22.49
1,MD-4,6,Glazer,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,426,92,18,0,5.87,26,0.33,1.0,23.63
1,MD-4,6,Glazer,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,354,61,9,0,2.95,11,2.0,3.0,22.75
1,MD-4,6,Glazer,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,373,61,2,0,0.76,4,1.0,1.33,21.07
1,MD-4,6,Glazer,Tactical 11vs11 (68*78m),4.7,591,109,35,8,9.22,35,1.5,1.07,27.17
1,MD-4,6,Glazer,Tactical 11vs11 (68*78m),4.5,509,82,23,1,5.37,26,1.1,0.88,25.93
1,MD-4,6,Agvadish,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,519,68,11,0,2.49,19,2.22,0.44,23.66
1,MD-4,6,Agvadish,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,562,51,51,0,10.79,63,1.91,0.0,24.99
1,MD-4,6,Agvadish,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,445,43,7,0,1.55,13,1.55,0.0,22.84
1,MD-4,6,Agvadish,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,360,45,2,0,0.78,0,1.67,1.67,21.56
1,MD-4,6,Agvadish,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,353,24,6,0,2.07,5,1.33,2.67,20.9
1,MD-4,6,Agvadish,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,392,84,21,0,6.85,28,1.67,2.0,23.1
1,MD-4,6,Agvadish,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,369,37,12,0,4.01,11,1.33,3.33,22.97
1,MD-4,6,Agvadish,Tactical 11vs11 (68*78m),4.7,523,64,23,0,4.85,30,0.86,0.43,23.83
1,MD-4,6,Agvadish,Tactical 11vs11 (68*78m),4.5,554,84,67,0,14.85,87,1.32,1.32,23.67
1,MD-4,6,Maliach,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,421,89,3,0,0.75,0,1.55,0.67,21.06
1,MD-4,6,Maliach,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,486,123,47,1,10.22,61,0.85,0.42,25.28
1,MD-4,6,Maliach,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,396,62,0,0,0.0,0,0.22,0.22,19.21
1,MD-4,6,Eshata,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,486,93,4,0,0.87,0,1.78,0.89,20.56
1,MD-4,6,Eshata,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,477,104,29,0,6.19,39,1.91,0.64,24.44
1,MD-4,6,Eshata,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,479,97,21,1,4.93,44,1.55,0.66,26.37
1,MD-4,6,Eshata,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,430,61,8,0,2.67,8,1.0,1.33,21.7
1,MD-4,6,Eshata,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,422,36,0,0,0.0,0,1.67,2.33,19.41
1,MD-4,6,Eshata,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,416,62,19,0,6.37,20,2.33,2.0,24.48
1,MD-4,6,Eshata,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,441,76,4,0,1.31,4,1.67,1.33,21.16
1,MD-4,6,Eshata,Tactical 11vs11 (68*78m),4.7,519,42,29,0,6.12,32,1.5,1.71,25.06
1,MD-4,6,Eshata,Tactical 11vs11 (68*78m),4.5,516,118,37,0,8.09,39,1.32,1.32,24.45
1,MD-4,6,Altman,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,517,174,13,0,2.98,16,1.33,0.67,22.68
1,MD-4,6,Altman,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,464,80,26,0,5.56,36,0.64,0.0,23.57
1,MD-4,6,Altman,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,487,146,13,0,2.79,16,1.33,0.66,23.96
1,MD-4,6,Biton,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,492,186,16,0,3.54,46,2.22,0.44,22.82
1,MD-4,6,Biton,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,415,107,27,0,5.81,47,1.7,0.0,24.77
1,MD-4,6,Biton,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,463,148,36,1,8.13,53,1.55,0.0,25.45
1,MD-4,6,Biton,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,380,24,0,0,0.0,0,1.33,1.33,17.69
1,MD-4,6,Biton,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,355,38,6,0,2.12,12,2.33,1.33,21.67
1,MD-4,6,Biton,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,391,61,11,4,5.1,25,1.67,2.0,27.4
1,MD-4,6,Biton,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,318,43,5,0,1.51,6,1.33,0.67,21.19
1,MD-4,6,Biton,Tactical 11vs11 (68*78m),4.7,507,71,10,1,2.19,11,0.86,1.07,25.22
1,MD-4,6,Biton,Tactical 11vs11 (68*78m),4.5,546,99,58,12,15.51,77,0.66,1.1,26.95
1,MD-4,6,Beni,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,443,107,3,0,0.75,17,2.0,0.67,20.75
1,MD-4,6,Beni,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,531,110,17,0,3.7,22,2.12,0.42,21.61
1,MD-4,6,Beni,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,483,113,26,0,5.8,36,1.99,0.22,24.11
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,430,58,2,0,0.56,0,1.33,1.67,20.58
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,460,108,3,0,0.94,0,1.0,1.33,20.86
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,379,35,1,0,0.37,0,1.67,3.66,20.27
1,MD-4,6,Beni,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,415,66,0,0,0.0,0,0.0,2.0,19.13
1,MD-4,6,Beni,Tactical 11vs11 (68*78m),4.7,580,118,50,0,10.74,49,1.5,1.28,24.93
1,MD-4,6,Beni,Tactical 11vs11 (68*78m),4.5,598,136,76,15,20.06,116,0.66,0.66,29.31
1,MD-4,6,Don,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,421,28,1,0,0.13,0,2.22,0.22,20.29
1,MD-4,6,Don,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,548,114,28,2,6.39,44,1.27,0.64,26.55
